baseline,num_seeds,total_repaired,mean_repaired_success_rate,mean_repair_gain_success_rate,mean_contact_recovery_gain,mean_contact_similarity_gain,mean_anchor_error_reduction,mean_clash_count_reduction,source
best_of_n,3,53,1.0,0.0,-0.00266410912190963,-0.0028431372549019653,-0.0748701297726936,0.0,contact_degraded_local_edit_multiseed_summary
coordinate_rollback,3,53,1.0,0.9649122807017544,0.1179244015394632,0.13377547346471416,0.0,0.0,contact_degraded_local_edit_multiseed_summary
direct_regeneration,3,53,0.7946336429308566,0.05882352941176471,-0.024312766217510436,-0.0877608554027957,-0.5709412633541996,-0.32094943240454077,contact_degraded_local_edit_multiseed_summary
feedback_budgeted_learned_editable_contact_policy,3,53,1.0,0.31888544891640863,0.03297914381302642,0.02743997449589289,0.0,0.0,contact_degraded_local_edit_multiseed_summary
feedback_editable_contact_policy,3,53,1.0,0.6047471620227038,0.06266819643767974,0.05192231114715556,0.0,0.0,contact_degraded_local_edit_multiseed_summary
feedback_editable_full_policy,3,53,1.0,0.6047471620227038,0.06266819643767974,0.05192231114715556,0.0,0.0,contact_degraded_local_edit_multiseed_summary
feedback_editable_geometry_only_policy,3,53,1.0,0.0,0.0,0.0,0.0,0.0,contact_degraded_local_edit_multiseed_summary
feedback_editable_global_only_policy,3,53,1.0,0.0,0.0,0.0,0.0,0.0,contact_degraded_local_edit_multiseed_summary
feedback_editable_interaction_only_policy,3,53,0.7007223942208461,0.5675954592363261,0.04873011212954632,-0.01969286217087197,0.0,-0.9081527347781218,contact_degraded_local_edit_multiseed_summary
feedback_geometry_refinement,3,53,0.7708978328173375,0.07636738906088751,-0.027151347203443827,-0.08159302861281935,-0.7502823462862968,0.0,contact_degraded_local_edit_multiseed_summary
feedback_kernel_geometry_policy,3,53,0.8513931888544892,0.05882352941176471,-0.004823216340377651,-0.045606488281017134,-0.36892549877740893,-0.18782249742002066,contact_degraded_local_edit_multiseed_summary
feedback_knn_geometry_policy,3,53,0.6181630546955624,0.03715170278637771,-0.010117486590627719,-0.08019263875578085,-0.8155948517388635,-0.09391124871001033,contact_degraded_local_edit_multiseed_summary
feedback_learned_editable_contact_policy,3,53,0.9236326109391125,0.2641898864809082,0.015612013302651351,0.002902617210443262,0.0,-0.09597523219814241,contact_degraded_local_edit_multiseed_summary
feedback_learned_geometry_policy,3,53,0.8493292053663571,0.07223942208462332,-0.012076728755628083,-0.0704336079821653,-0.5550194940846404,-0.46646026831785353,contact_degraded_local_edit_multiseed_summary
feedback_linear_refinement,3,53,0.847265221878225,0.05675954592363261,-0.012083062202497453,-0.04825866105397278,-0.3408186533094892,-0.2094943240454076,contact_degraded_local_edit_multiseed_summary
feedback_residual_ensemble_policy,3,53,0.847265221878225,0.017543859649122806,-0.015878504338424918,-0.07028322363502487,-0.6101055418157563,-0.21568627450980393,contact_degraded_local_edit_multiseed_summary
feedback_ridge_editable_contact_policy,3,53,0.8906088751289989,0.21155830753353974,0.01778347152533125,-0.006301237109842908,0.0,-0.22291021671826627,contact_degraded_local_edit_multiseed_summary
feedback_rule_repair,3,53,1.0,0.0,0.0,0.0,0.0,0.0,contact_degraded_local_edit_multiseed_summary
identity_failed_candidate,3,53,1.0,0.0,0.0,0.0,0.0,0.0,contact_degraded_local_edit_multiseed_summary
no_failed_candidate_policy,3,53,1.0,0.9649122807017544,0.1179244015394632,0.13377547346471416,0.0,0.0,contact_degraded_local_edit_multiseed_summary
no_feedback_repair,3,53,1.0,0.0,0.0,0.0,0.0,0.0,contact_degraded_local_edit_multiseed_summary
rerank_only,3,53,1.0,0.0,0.0,0.0,0.0,0.0,contact_degraded_local_edit_multiseed_summary
