baseline,num_records,unique_candidates,expected_candidates,coverage_rate,missing_candidate_count,duplicate_candidate_records,records_per_candidate_min,records_per_candidate_max,records_per_candidate_mean,record_level_same_budget_pass,internal_candidate_budget_min,internal_candidate_budget_max,internal_candidate_budget_mean,internal_budget_types,internal_budget_available_rate,repaired_success_rate,repair_gain_success_rate,mean_contact_recovery_gain,mean_contact_similarity_gain,mean_anchor_error_reduction,mean_clash_count_reduction,missing_candidate_examples,source
best_of_n,19,19,19,1.0,0,0,1,1,1.0,True,16,17,16.105263157894736,['candidate_pool_selection'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,[],record_and_internal_budget_audit
coordinate_rollback,19,19,19,1.0,0,0,1,1,1.0,True,1,1,1.0,['reference_or_rule_copy'],1.0,1.0,0.8947368421052632,0.11194548402490483,0.12828877236425007,0.0,0.0,[],record_and_internal_budget_audit
direct_regeneration,19,19,19,1.0,0,0,1,1,1.0,True,16,17,16.105263157894736,['candidate_pool_index_selection'],1.0,0.7368421052631579,0.0,-0.030335020459694956,-0.08191826389154777,-0.5000000000000003,-0.3157894736842105,[],record_and_internal_budget_audit
feedback_budgeted_learned_editable_contact_policy,19,19,19,1.0,0,0,1,1,1.0,True,10,10,10.0,['editable_offset_selection'],1.0,1.0,0.3684210526315789,0.0398664154764723,0.028984176742797425,0.0,0.0,[],record_and_internal_budget_audit
feedback_editable_contact_policy,19,19,19,1.0,0,0,1,1,1.0,True,10,10,10.0,['editable_offset_selection'],1.0,1.0,0.5789473684210527,0.06079429740017211,0.05270891362649661,0.0,0.0,[],record_and_internal_budget_audit
feedback_editable_full_policy,19,19,19,1.0,0,0,1,1,1.0,True,10,10,10.0,['editable_offset_selection'],1.0,1.0,0.5789473684210527,0.06079429740017211,0.05270891362649661,0.0,0.0,[],record_and_internal_budget_audit
feedback_editable_geometry_only_policy,19,19,19,1.0,0,0,1,1,1.0,True,10,10,10.0,['editable_offset_selection'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,[],record_and_internal_budget_audit
feedback_editable_global_only_policy,19,19,19,1.0,0,0,1,1,1.0,True,10,10,10.0,['editable_offset_selection'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,[],record_and_internal_budget_audit
feedback_editable_interaction_only_policy,19,19,19,1.0,0,0,1,1,1.0,True,10,10,10.0,['editable_offset_selection'],1.0,0.631578947368421,0.5263157894736842,0.050990693562992954,-0.01569170111519965,0.0,-0.8421052631578947,[],record_and_internal_budget_audit
feedback_geometry_refinement,19,19,19,1.0,0,0,1,1,1.0,True,16,17,16.105263157894736,['candidate_pool_selection'],1.0,0.8421052631578947,0.05263157894736842,-0.014722150203093934,-0.0696823353164946,-0.7368421052631581,0.0,[],record_and_internal_budget_audit
feedback_kernel_geometry_policy,19,19,19,1.0,0,0,1,1,1.0,True,1,1,1.0,['single_policy_output'],1.0,0.7894736842105263,0.0,-0.004855889724310783,-0.04473669186096124,-0.32283206088998895,-0.21052631578947367,[],record_and_internal_budget_audit
feedback_knn_geometry_policy,19,19,19,1.0,0,0,1,1,1.0,True,1,1,1.0,['single_policy_output'],1.0,0.7368421052631579,0.05263157894736842,0.00024041080963279148,-0.06715527433017113,-0.7368421052631581,-0.10526315789473684,[],record_and_internal_budget_audit
feedback_learned_editable_contact_policy,19,19,19,1.0,0,0,1,1,1.0,True,1,1,1.0,['single_policy_output'],1.0,0.9473684210526315,0.2631578947368421,0.015383567614688906,0.002255351021231247,0.0,-0.05263157894736842,[],record_and_internal_budget_audit
feedback_learned_geometry_policy,19,19,19,1.0,0,0,1,1,1.0,True,1,1,1.0,['single_policy_output'],1.0,0.8421052631578947,0.15789473684210525,-0.016812505401434613,-0.07011895729852827,-0.48729316736765194,-0.10526315789473684,[],record_and_internal_budget_audit
feedback_linear_refinement,19,19,19,1.0,0,0,1,1,1.0,True,1,1,1.0,['single_policy_output'],1.0,0.8947368421052632,0.05263157894736842,-0.010996240601503756,-0.04294931988240744,-0.3048225918983349,-0.15789473684210525,[],record_and_internal_budget_audit
feedback_residual_ensemble_policy,19,19,19,1.0,0,0,1,1,1.0,True,7,7,7.0,['residual_offset_selection'],1.0,0.8947368421052632,0.05263157894736842,-0.010297013147561549,-0.05097888191524038,-0.5378276431957713,0.0,[],record_and_internal_budget_audit
feedback_ridge_editable_contact_policy,19,19,19,1.0,0,0,1,1,1.0,True,1,1,1.0,['single_policy_output'],1.0,0.7894736842105263,0.10526315789473684,0.01282894736842106,-0.0222647046296701,0.0,-0.3157894736842105,[],record_and_internal_budget_audit
feedback_rule_repair,19,19,19,1.0,0,0,1,1,1.0,True,1,1,1.0,['reference_or_rule_copy'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,[],record_and_internal_budget_audit
identity_failed_candidate,19,19,19,1.0,0,0,1,1,1.0,True,1,1,1.0,['single_failed_candidate'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,[],record_and_internal_budget_audit
no_failed_candidate_policy,19,19,19,1.0,0,0,1,1,1.0,True,10,10,10.0,['editable_offset_selection'],1.0,1.0,0.8947368421052632,0.11194548402490483,0.12828877236425007,0.0,0.0,[],record_and_internal_budget_audit
no_feedback_repair,19,19,19,1.0,0,0,1,1,1.0,True,1,1,1.0,['single_failed_candidate'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,[],record_and_internal_budget_audit
rerank_only,19,19,19,1.0,0,0,1,1,1.0,True,1,1,1.0,['single_failed_candidate'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,[],record_and_internal_budget_audit
